Smiles,IC50_uM,pIC50
Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12,0.0055,8.259637311
Cc1cc(Br)cc(C)c1Sc1ccnc(Nc2ccc(C#N)cc2)n1,0.0057,8.244125144
COc1cc2nc([S+]([O-])CC(=O)Nc3ccc(C#N)cc3)nc(Nc3c(C)cc(/C=C/C#N)cc3C)c2cc1OC,0.0057,8.244125144
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(C(N)=O)cc3)CC2)nc2cc[nH]c12,0.00572,8.242603971
Cc1[nH]c(=O)c(Cl)c(Oc2cc(Cl)cc(C#N)c2)c1CCOc1ccccc1,0.006,8.22184875
Cc1cc(C#N)cc(F)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1Br,0.006,8.22184875
Cc1cnc(NC2CCN(c3cccc(C(N)=O)c3)CC2)nc1Oc1c(C)cc(C#N)cc1Cl,0.006,8.22184875
CCC(c1nc(SC(C)C)[nH]c(=O)c1C)c1c(F)cccc1Cl,0.006,8.22184875
CCc1c(C)[nH]c(=O)c(N(C)C(C)COC)c1Cc1cc(C)cc(C)c1,0.006,8.22184875
Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(C#N)c3)CC2)nc2ccsc12,0.00602,8.220403509
Cc1cc(C#N)cc(C(=O)c2cc(Cl)ccc2OCC(=O)Nc2ccc(S(N)(=O)=O)nc2C)c1,0.006026,8.219970873
Cc1cc(S(=O)(=O)N(C)C)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(F)cc(C(F)(F)F)c1,0.006026,8.219970873
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cc(=O)[nH]c(=O)[nH]3)CC2)nc2ccsc12,0.00613,8.212539525
Cc1cc(S(N)(=O)=O)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(Cl)cc(Br)c1,0.006166,8.20999648
Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(C(N)=O)c3)CC2)nc2ccsc12,0.00628,8.202040356
O=C(NCc1ccncc1)c1[nH]c2ccc(Br)cc2c1S(=O)(=O)N1CCCC1,0.0063,8.200659451
O=C(NCCO)c1[nH]c2ccc(Br)cc2c1S(=O)(=O)N1CCCC1,0.0069,8.161150909
CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,0.007,8.15490196
N#Cc1cc(Cl)cc(Oc2cc(CCc3cccc(Cl)c3)[nH]c(=O)c2Cl)c1,0.007,8.15490196
N#Cc1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1,0.007,8.15490196
O=C1c2ccccc2C(=O)N1CCOC(=S)N(C(=O)c1ccco1)c1ccc(Cl)cc1,0.007,8.15490196
Cc1cc(C#N)cc(C(=O)c2cc(Cl)ccc2OCC(=O)Nc2cnc(S(N)(=O)=O)cc2C)c1,0.007079,8.150028088
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)nc2sccc12,0.00726,8.139063379
N#Cc1cc(Cl)cc(Oc2cc(OCc3nc4cccc(Cl)c4[nH]3)ccc2Cl)c1,0.0073,8.13667714
COc1ccc(-c2ccc(Cc3cc(=O)n(O)c(=O)[nH]3)cc2)cc1F,0.0076,8.119186408
COc1ccc(-c2cccc(Cc3cc(=O)n(O)c(=O)[nH]3)c2)cc1F,0.0077,8.113509275
Cc1cc(C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,0.0078,8.107905397
